RTWordMean,RTPicMean
2845.1,3797.62
4589.19,3292.52
7825.81,8029.71
7441.43,7186.9
4294.67,6852.52
24551.67,26504.43
8798.95,7056.24
2528.95,3793.52
14057.33,12668.67
14233.9,14312.1
2752.71,3233.48
5162.95,6208
3930.05,5820.52
3079.38,2927.43
7324.38,7464.81
14414.57,21585.05
10167.48,12521.29
5739.33,4986.19
12800.9,9800.24
5277.76,5840.57
7173.24,8260.57
8523.71,8470.48
4837.86,4400.57
