"id"	"age"	"sex"	"student"	"ttc"	"mood"	"conflict"	"interactions"	"alcohol"
18925	5.53333333333333	1	-1	1	1.24464285714286	0	-2.4	0.316666666666667
23423	31.5333333333333	1	-1	1	0.555753968253967	0	2.6	-0.683333333333333
34221	12.5333333333333	1	-1	1	0.000198412698416917	3	-10.4	-0.683333333333333
45738	29.5333333333333	-1	-1	1	0.244642857142857	0	2.6	-0.683333333333333
52389	-1.46666666666667	1	-1	-1	1.34464285714286	3	-0.399999999999999	-0.683333333333333
82483	-2.46666666666667	-1	-1	1	1.74464285714286	4	-4.4	-0.683333333333333
97321	-3.46666666666667	1	1	1	-1.05535714285714	0	-10.4	-0.683333333333333
110926	-3.46666666666667	-1	1	-1	-0.555357142857143	16	-17.4	-0.683333333333333
136292	-4.46666666666667	-1	1	-1	1.00019841269842	14	17.6	-0.683333333333333
177298	-2.46666666666667	1	-1	-1	-0.110912698412703	6	0.600000000000001	3.31666666666667
189238	-2.46666666666667	1	-1	-1	-0.126785714285713	5	-10.4	-0.683333333333333
189273	-4.46666666666667	-1	1	-1	-0.555357142857143	0	-8.4	-0.683333333333333
217386	-2.46666666666667	1	1	-1	-1.12678571428571	6	2.6	-0.683333333333333
219024	-2.46666666666667	1	1	1	0.333531746031747	5	5.6	-0.683333333333333
227385	3.53333333333333	-1	-1	1	-0.680357142857143	1	-5.4	-0.683333333333333
228162	3.53333333333333	-1	1	-1	0.158928571428567	0	-13.4	-0.683333333333333
234826	-1.46666666666667	1	-1	-1	-0.333134920634923	0	-7.4	-0.683333333333333
238912	-0.466666666666665	-1	-1	-1	1.44464285714286	1	-10.4	-0.683333333333333
241182	-3.46666666666667	-1	-1	-1	0.333531746031747	1	-6.4	-0.683333333333333
258197	-4.46666666666667	1	-1	1	0.000198412698416917	2	-8.4	0.316666666666667
271936	-4.46666666666667	-1	1	1	-0.430357142857143	7	1.6	0.316666666666667
283975	-3.46666666666667	-1	1	-1	-0.555357142857143	6	5.6	-0.683333333333333
287760	-1.46666666666667	-1	-1	1	-0.333134920634923	4	7.6	-0.683333333333333
287912	-3.46666666666667	-1	1	-1	-0.0553571428571429	0	-9.4	-0.683333333333333
289345	-2.46666666666667	1	-1	1	-0.222023809523813	0	-2.4	-0.683333333333333
290723	0.533333333333335	1	1	1	0.444642857142857	1	3.6	-0.683333333333333
298347	3.53333333333333	-1	-1	1	0.111309523809527	1	0.600000000000001	-0.683333333333333
312541	-3.46666666666667	-1	-1	-1	1.04464285714286	3	-7.4	-0.683333333333333
328245	-2.46666666666667	-1	-1	1	-0.110912698412703	2	-3.4	-0.683333333333333
331385	-4.46666666666667	-1	-1	-1	0.444642857142857	21	27.6	7.31666666666667
349024	-3.46666666666667	-1	-1	1	0.666865079365077	9	14.6	-0.683333333333333
389723	-0.466666666666665	-1	1	-1	-0.0553571428571429	4	-7.4	0.316666666666667
422328	4.53333333333333	-1	-1	1	0.889087301587297	0	-8.4	1.31666666666667
430284	-2.46666666666667	1	1	1	-1.77757936507936	2	-7.4	-0.683333333333333
512735	-3.46666666666667	-1	1	-1	0.000198412698416917	12	18.6	-0.683333333333333
524389	-2.46666666666667	1	-1	1	-0.0553571428571429	7	7.6	-0.683333333333333
539325	-3.46666666666667	1	1	1	-1.05535714285714	0	-12.4	-0.683333333333333
542586	-3.46666666666667	-1	1	1	-0.666468253968253	14	19.6	-0.683333333333333
563592	24.5333333333333	-1	-1	-1	0.444642857142857	0	-8.4	0.316666666666667
587162	-5.46666666666667	1	1	1	1.64464285714286	6	17.6	-0.683333333333333
612347	-4.46666666666667	-1	1	-1	0.544642857142857	7	13.6	-0.683333333333333
622440	-3.46666666666667	1	-1	1	-0.955357142857143	5	5.6	-0.683333333333333
633892	-4.46666666666667	1	1	-1	-0.355357142857143	13	21.6	1.31666666666667
645498	-3.46666666666667	1	1	1	-0.555357142857143	1	-8.4	-0.683333333333333
719237	-3.46666666666667	-1	1	1	-1.35535714285714	8	-0.399999999999999	-0.683333333333333
729323	24.5333333333333	-1	-1	-1	-0.805357142857143	4	-3.4	-0.683333333333333
731098	3.53333333333333	-1	-1	-1	0.111309523809527	2	-17.4	7.31666666666667
823947	-5.46666666666667	1	-1	1	-0.0553571428571429	12	2.6	-0.683333333333333
902341	-5.46666666666667	-1	-1	1	0.444642857142857	12	11.6	-0.683333333333333
912345	-2.46666666666667	1	1	1	0.144642857142857	0	-8.4	5.31666666666667
913234	-1.46666666666667	-1	1	1	0.144642857142857	7	9.6	-0.683333333333333
917893	-2.46666666666667	-1	1	1	0.244642857142857	5	4.6	-0.683333333333333
921872	-3.46666666666667	1	1	-1	0.144642857142857	2	-1.4	-0.683333333333333
927894	-5.46666666666667	1	1	-1	-0.888690476190473	1	-6.4	-0.683333333333333
934851	-3.46666666666667	-1	1	-1	0.000198412698416917	0	-4.4	-0.683333333333333
947692	-0.466666666666665	1	1	1	0.333531746031747	1	-7.4	-0.683333333333333
953241	0.533333333333335	-1	-1	-1	-0.0553571428571429	17	19.6	-0.683333333333333
962431	-4.46666666666667	-1	1	1	-0.0553571428571429	5	6.6	-0.683333333333333
982342	0.533333333333335	-1	-1	1	-1.1109126984127	0	-8.4	5.31666666666667
992341	-4.46666666666667	-1	1	1	-0.155357142857143	7	-3.4	-0.683333333333333
