"","subject","trial","vocoded","mean_pupil"
"120","EYE32",18,"NS",0.0212391575510172
"121","EYE32",19,"NS",0.0242905771070919
"122","EYE32",20,"NS",0.0255111702949417
"123","EYE32",21,"NS",-0.0241322765683894
"124","EYE32",22,"NS",0.0484050702791371
"125","EYE32",23,"NS",0.0362559331072645
"126","EYE32",24,"NS",0.0218266776741178
"127","EYE32",25,"NS",-0.0105787516173149
"128","EYE32",26,"NS",0.0494632182250889
"129","EYE32",27,"NS",-0.0118818467243166
"130","EYE32",28,"NS",0.0165581675104478
"131","EYE32",29,"NS",0.0072069395281497
"132","EYE32",30,"NS",0.00495152104043957
"133","EYE32",31,"NS",0.0426859072112266
"134","EYE32",32,"NS",0.0706236014827365
"135","EYE32",33,"NS",0.0533726321609537
"136","EYE32",34,"NS",0.0620301008664727
"137","EYE32",35,"NS",0.00684829125921593
"138","EYE32",36,"NS",0.0409015524734365
"139","EYE32",37,"V6",0.0187731409378599
"140","EYE32",38,"V6",0.0601774248441809
"141","EYE32",39,"V6",-0.0011183381761245
"142","EYE32",40,"V6",0.0468372304141447
"143","EYE32",41,"V6",0.0617458657591774
"144","EYE32",42,"V6",-0.00443141875800132
"145","EYE32",43,"V6",-0.00227676739639161
"146","EYE32",44,"V6",0.0531230825858062
"147","EYE32",45,"V6",-0.0152478233689902
"148","EYE32",46,"V6",0.00755517574294849
"149","EYE32",47,"V6",0.0567988299520923
"150","EYE32",48,"V6",0.0407316552419804
"151","EYE32",49,"V6",0.0133715417339334
"152","EYE32",50,"V6",-0.0309024215022324
"153","EYE32",51,"V6",0.0649248326228961
"154","EYE32",52,"V6",0.0108873535599268
"155","EYE32",53,"V6",-0.012297743401782
"156","EYE32",54,"V6",0.055111235299637
"157","EYE32",55,"V6",-0.00634501624789062
"158","EYE32",56,"V6",-0.0388446880350512
"159","EYE32",57,"V6",-0.00357498624139118
"160","EYE32",58,"V6",0.0519156957703461
"161","EYE32",59,"V6",0.0239634123023194
"162","EYE32",60,"V6",-0.00997694125817144
"163","EYE32",61,"V6",0.0248774063649192
"164","EYE32",62,"V6",-0.0172122080607877
"165","EYE32",63,"V6",0.0319254090802191
"166","EYE32",64,"V6",0.0286789966664664
"167","EYE32",65,"V6",-0.0600041351942439
"168","EYE32",66,"V6",-0.0186253243790846
"169","EYE32",67,"V6",-0.00504839470585889
"170","EYE32",68,"V6",-0.0207077142372533
"171","EYE32",69,"NS",-0.0392936724767312
"172","EYE32",70,"NS",0.0063114658170213
"173","EYE32",71,"NS",-0.0124131276945995
"174","EYE32",72,"NS",0.0390471060163347
"175","EYE32",73,"NS",0.036841414108579
"176","EYE32",74,"NS",0.0550504227134986
"177","EYE32",75,"NS",-0.00452195738227414
"178","EYE32",76,"NS",0.0297594802667288
"179","EYE32",77,"NS",-0.015599708998408
"180","EYE32",78,"NS",-0.0142388039569032
"181","EYE32",79,"NS",-0.00678231410512388
"182","EYE32",80,"NS",-0.0550979875110106
"183","EYE32",81,"NS",0.0136701348511583
"184","EYE32",82,"NS",-0.0508686582923131
"185","EYE32",83,"NS",-0.0405544046207231
"186","EYE32",84,"NS",-0.0198960383835895
"187","EYE32",85,"NS",-0.00150894691140708
"188","EYE32",86,"NS",-0.0289346572369315
"189","EYE32",87,"NS",0.0488175194917747
"190","EYE32",88,"NS",-0.0315555330773606
"191","EYE32",89,"NS",-0.0176410503688599
"192","EYE32",90,"NS",-0.0255591683412806
"193","EYE32",91,"NS",-0.0311968201868279
"194","EYE32",92,"NS",0.0408031762100865
"195","EYE32",93,"NS",0.00121669250991226
"196","EYE32",94,"NS",-0.0181304646813682
"197","EYE32",95,"NS",-0.0399912380669398
"198","EYE32",96,"NS",0.00414679068863787
"199","EYE32",97,"NS",0.00381359687305205
"200","EYE32",98,"NS",0.0110639572372744
"201","EYE32",99,"NS",-0.0477726370585333
"202","EYE32",100,"NS",-0.0226892829503851
"203","EYE32",101,"V6",0.058011307613661
"204","EYE32",102,"V6",-0.0453154518997263
"205","EYE32",103,"V6",0.00704930782165188
"206","EYE32",104,"V6",0.015531073909995
"207","EYE32",105,"V6",0.0409313501692528
"208","EYE32",106,"V6",0.145359514849386
"209","EYE32",107,"V6",-0.0391332293919662
"210","EYE32",108,"V6",0.0348376826741272
"211","EYE32",109,"V6",0.0424364087929025
"212","EYE32",110,"V6",-0.0133991423072459
"213","EYE32",111,"V6",0.024461004152017
"214","EYE32",112,"V6",-0.0281846933019589
"215","EYE32",113,"V6",-0.0268652739498732
"216","EYE32",114,"V6",0.00483614144547092
"217","EYE32",115,"V6",0.00875431382061238
"218","EYE32",116,"V6",-0.0030780165890038
"219","EYE32",117,"V6",-0.0247825833160353
"220","EYE32",118,"V6",-0.0316088096062517
"221","EYE32",119,"V6",-0.0508145220063364
"222","EYE32",120,"V6",0.0333688095868551
"223","EYE32",121,"V6",-0.0210781696390447
"224","EYE32",122,"V6",0.00929434041680333
"225","EYE32",123,"V6",-0.0229484325754567
"226","EYE32",124,"V6",-0.0147042944944699
"227","EYE32",125,"V6",-0.0157994978116277
"228","EYE32",126,"V6",-0.0554933744419738
"229","EYE32",127,"V6",-0.033435015245114
"230","EYE32",128,"V6",0.00911859396494124
"231","EYE32",129,"V6",0.000383810725813333
"232","EYE32",130,"V6",-0.0216579193094974
"233","EYE32",131,"V6",-0.0164849955191302
"234","EYE32",132,"V6",-0.0139881321638284
"235","EYE32",133,"NS",-0.0251350105825377
"236","EYE32",134,"NS",-0.0090310868435069
"237","EYE32",135,"NS",0.0288978404994519
"238","EYE32",136,"NS",-0.0114529069471499
"239","EYE32",137,"NS",-0.0203872308383211
"240","EYE32",138,"NS",-0.0167564814054429
"241","EYE32",139,"NS",-0.0178377139582029
"242","EYE32",140,"NS",-0.017196591490315
"243","EYE32",141,"NS",0.0422412027884531
"244","EYE32",142,"NS",0.00194968450043865
"245","EYE32",143,"NS",0.016345230541171
"246","EYE32",144,"NS",0.0127552731717592
"247","EYE32",145,"NS",0.00576271178318616
"248","EYE32",146,"NS",-0.0267877674475704
"249","EYE32",147,"NS",-0.011841498867821
"250","EYE32",148,"NS",0.0521747557786442
"251","EYE32",149,"NS",-0.0208454122859208
"252","EYE32",150,"NS",0.0779938624973899
"253","EYE32",151,"NS",-0.00801872008934573
"254","EYE32",152,"NS",0.016411462616366
"255","EYE32",153,"NS",-0.0241719219021304
"256","EYE32",154,"NS",0.00870139867718814
"257","EYE32",155,"NS",-0.0732180253906826
"258","EYE32",156,"NS",0.00627547769670785
"259","EYE32",157,"NS",0.0291295754821742
"260","EYE32",158,"NS",-0.00310171413632945
"261","EYE32",159,"NS",-0.0308357153217418
"262","EYE32",160,"NS",-0.00190295202642581
"263","EYE32",161,"NS",-0.071774480495219
"264","EYE32",162,"NS",0.0370615947760872
"265","EYE32",163,"NS",0.00960442942348636
"266","EYE32",164,"NS",-0.0276691628068392
"267","EYE32",165,"V6",-0.0191056425783237
"268","EYE32",166,"V6",-0.0277286204608403
"269","EYE32",167,"V6",-0.00130891845722825
"270","EYE32",168,"V6",-0.0251607257953879
"271","EYE32",169,"V6",0.0294349299047146
"272","EYE32",170,"V6",-0.0204777021431113
"273","EYE32",171,"V6",-0.0138855703464913
"274","EYE32",172,"V6",0.0207552113044706
"275","EYE32",173,"V6",-0.00341839341118373
"276","EYE32",174,"V6",-0.00311245675934915
"277","EYE32",175,"V6",0.0246876808881144
"278","EYE32",176,"V6",-0.01385626815729
"279","EYE32",177,"V6",0.010719488758811
"280","EYE32",178,"V6",0.0158924955801792
"281","EYE32",179,"V6",-0.0295880740310704
"282","EYE32",180,"V6",-0.0399223562059928
"283","EYE32",181,"V6",-0.0152821299742562
"284","EYE32",182,"V6",-0.0537150203519236
"285","EYE32",183,"V6",-0.025026364844313
"286","EYE32",184,"V6",0.0139194934432761
"287","EYE32",185,"V6",-0.0312033569941574
"288","EYE32",186,"V6",0.00234763911345834
"289","EYE32",187,"V6",-0.0441910637824874
"290","EYE32",188,"V6",-0.019933328380066
"291","EYE32",189,"V6",-0.0738254205302074
"292","EYE32",190,"V6",0.0230338686993116
"293","EYE32",191,"V6",0.0110241325409383
"294","EYE32",192,"V6",-0.0456016280616134
"295","EYE32",193,"V6",-0.00665884800092492
"296","EYE32",194,"V6",-0.0200971351741266
"297","EYE32",195,"V6",-0.00544019777658354
"298","EYE32",196,"V6",0.0270253568126479
"299","EYE_16",5,"NS",0.00344960397806443
"300","EYE_16",6,"NS",-0.0331366511226372
"301","EYE_16",7,"NS",0.0142013262763513
"302","EYE_16",8,"NS",-0.0105765483575236
"303","EYE_16",9,"NS",0.0540562563130869
"304","EYE_16",10,"NS",0.0106916762367917
"305","EYE_16",11,"NS",0.00995387334497694
"306","EYE_16",12,"NS",0.0195143493452486
"307","EYE_16",13,"NS",0.02495221722018
"308","EYE_16",14,"NS",-0.0329114895833224
"309","EYE_16",15,"NS",-0.00394979805125444
"310","EYE_16",16,"NS",-0.0174418987279436
"311","EYE_16",17,"NS",-0.0088247673365355
"312","EYE_16",18,"NS",0.021897937184102
"313","EYE_16",19,"NS",0.0799702065564257
"314","EYE_16",20,"NS",-0.0010606409503307
"315","EYE_16",21,"NS",0.045340379799767
"316","EYE_16",22,"NS",0.0220181049687756
"317","EYE_16",23,"NS",0.00252385039726157
"318","EYE_16",24,"NS",0.0410154786277876
"319","EYE_16",25,"NS",0.0494449023225192
"320","EYE_16",26,"NS",0.00666831604012948
"321","EYE_16",27,"NS",-0.010915463765681
"322","EYE_16",28,"NS",-0.0428026902725976
"323","EYE_16",29,"NS",0.0318399343694454
"324","EYE_16",30,"NS",0.0348858402176795
"325","EYE_16",31,"NS",0.0545337617746102
"326","EYE_16",32,"NS",-0.0458941757524025
"327","EYE_16",33,"NS",-0.027371617981906
"328","EYE_16",34,"NS",0.0292586225857561
"329","EYE_16",35,"NS",0.00728124566018202
"330","EYE_16",36,"NS",0.0272908075984726
"331","EYE_16",37,"V6",0.00284953716625397
"332","EYE_16",38,"V6",0.0169650573849761
"333","EYE_16",39,"V6",-0.0172935579895375
"334","EYE_16",40,"V6",-0.00971112569228621
"335","EYE_16",41,"V6",0.00140827638438085
"336","EYE_16",42,"V6",-0.037771745001093
"337","EYE_16",43,"V6",0.0163786949474996
"338","EYE_16",44,"V6",-0.0309370297317278
"339","EYE_16",45,"V6",0.0081684751618151
"340","EYE_16",46,"V6",-0.028273148036381
"341","EYE_16",47,"V6",-0.0284097651906719
"342","EYE_16",48,"V6",-0.0117772439955089
"343","EYE_16",49,"V6",-0.0442308666263553
"344","EYE_16",50,"V6",0.0657669504283932
"345","EYE_16",51,"V6",-0.00776674816316357
"346","EYE_16",52,"V6",-0.0413281701942811
"347","EYE_16",53,"V6",0.0112081042739902
"348","EYE_16",54,"V6",-0.00425527834631637
"349","EYE_16",55,"V6",0.057780796307603
"350","EYE_16",56,"V6",-0.0658731203958647
"351","EYE_16",57,"V6",0.0169541805087521
"352","EYE_16",58,"V6",0.000219812287912214
"353","EYE_16",59,"V6",-0.00981337985737773
"354","EYE_16",60,"V6",-0.00191535193897372
"355","EYE_16",61,"V6",-0.045815733515092
"356","EYE_16",62,"V6",0.00639719506194821
"357","EYE_16",63,"V6",-0.00556666784751752
"358","EYE_16",64,"V6",-0.0322913779831718
"359","EYE_16",65,"V6",0.0431840908816645
